group,name,offset,width,type,value,meaning
AlarmAttributes,modifier,11,4,enum,42,3_PHASE
AlarmAttributes,modifier,11,4,enum,43,ACCUMULATED
AlarmAttributes,modifier,11,4,enum,44,CONDITIONAL
AlarmAttributes,modifier,11,4,enum,45,INCREMENTAL
AlarmAttributes,modifier,11,4,enum,46,TOU_RATE_1
AlarmAttributes,modifier,11,4,enum,47,TOU_RATE_2
AlarmAttributes,modifier,11,4,enum,48,TOU_RATE_3
AlarmAttributes,modifier,11,4,enum,49,TOU_RATE_4
AlarmAttributes,modifier,11,4,enum,61,USER_DEFINED1
AlarmAttributes,modifier,11,4,enum,62,USER_DEFINED2
AlarmAttributes,modifier,11,4,enum,63,USER_DEFINED3
AlarmAttributes,phases,7,4,enum,0,NONE
AlarmAttributes,phases,7,4,enum,1,A
AlarmAttributes,phases,7,4,enum,2,B
AlarmAttributes,phases,7,4,enum,3,C
AlarmAttributes,phases,7,4,enum,4,AB
AlarmAttributes,phases,7,4,enum,5,BC
AlarmAttributes,phases,7,4,enum,6,CA
AlarmAttributes,phases,7,4,enum,7,ABC
AlarmAttributes,phases,7,4,enum,8,N
AlarmAttributes,phases,7,4,enum,9,G
AlarmAttributes,phases,7,4,enum,10,NG
AlarmAttributes,phases,7,4,enum,11,3PHASE_TOTAL
AlarmAttributes,phases,7,4,enum,12,NOT_USED
AlarmAttributes,phases,7,4,enum,13,NOT_USED
AlarmAttributes,phases,7,4,enum,14,NOT_USED
AlarmAttributes,phases,7,4,enum,15,NOT_USED
AlarmAttributes,level,5,2,enum,0,LEVEL0
AlarmAttributes,level,5,2,enum,1,LEVEL1
AlarmAttributes,level,5,2,enum,2,LEVEL2
AlarmAttributes,level,5,2,enum,3,LEVEL3
AlarmAttributes,priority,3,2,enum,0,NONE
AlarmAttributes,priority,3,2,enum,1,HIGH
AlarmAttributes,priority,3,2,enum,2,MEDIUM
AlarmAttributes,priority,3,2,enum,3,LOW
AlarmAttributes,setpoints,2,1,flag,0,FIXED
AlarmAttributes,setpoints,2,1,flag,1,VARIABLE
AlarmAttributes,learning,1,1,flag,0,NOT_LEARNING
AlarmAttributes,learning,1,1,flag,1,LEARNING
AlarmAttributes,enable,0,1,flag,0,DISABLED
AlarmAttributes,enable,0,1,flag,1,ENABLED
