group,name,total_width,offset,width,type,value,meaning,description,standard
AlarmAttributes,parameter,32,17,4,enum,14,HARMONIC,Harmonic distortion parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,15,INTERHARMONIC,Interharmonic distortion parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,16,K_FACTOR,K-factor (transformer derating) parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,17,FLICKER,Voltage flicker parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,18,ENERGY,Energy measurement parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,19,DATETIME,Date and time parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,20,TEMPERATURE,Temperature measurement parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,21,INPUT_METERING_1,Input metering channel 1 parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,22,INPUT_METERING_2,Input metering channel 2 parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,23,INPUT_METERING_3,Input metering channel 3 parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,24,INPUT_METERING_4,Input metering channel 4 parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,25,INPUT_METERING_5,Input metering channel 5 parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,26,INPUT_METERING_6,Input metering channel 6 parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,27,INPUT_METERING_7,Input metering channel 7 parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,28,INPUT_METERING_8,Input metering channel 8 parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,29,INPUT_METERING_9,Input metering channel 9 parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,30,INPUT_METERING_10,Input metering channel 10 parameter,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,61,USER_DEFINED1,User-defined parameter 1,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,62,USER_DEFINED2,User-defined parameter 2,Device specific AlarmAttributes
AlarmAttributes,parameter,32,17,4,enum,63,USER_DEFINED3,User-defined parameter 3,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,0,NONE,No modifier applied,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,1,1,Harmonic order 1 (fundamental),Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,2,2,Harmonic order 2,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,3,3,Harmonic order 3,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,4,4,Harmonic order 4,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,5,5,Harmonic order 5,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,6,6,Harmonic order 6,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,7,7,Harmonic order 7,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,8,8,Harmonic order 8,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,9,9,Harmonic order 9,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,10,10,Harmonic order 10,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,11,11,Harmonic order 11,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,12,12,Harmonic order 12,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,13,13,Harmonic order 13,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,14,14,Harmonic order 14,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,15,15,Harmonic order 15,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,16,16,Harmonic order 16,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,17,PHASE,Phase conductor measurement,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,18,NEUTRAL,Neutral conductor measurement,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,19,GROUND,Ground conductor measurement,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,20,LN,Line-to-neutral measurement,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,21,LL,Line-to-line measurement,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,22,THD,Total harmonic distortion calculation,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,23,UNBALANCE,Phase unbalance calculation,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,24,TRUE,True power factor,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,25,DISPLACEMENT,Displacement power factor,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,26,DEMAND_LAST,Last completed demand interval,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,27,DEMAND_PREDICTED,Predicted demand value,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,28,DEMAND_PRESENT,Present demand interval,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,29,RMS,Root mean square calculation,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,30,FUNDAMENTAL,Fundamental frequency component,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,31,ANGLE,Phase angle measurement,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,32,DEMAND_PEAK,Peak demand value,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,33,CREST_FACTOR,Crest factor calculation,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,34,DISTORTION,Distortion power factor,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,35,INSTANTANEOUS,Instantaneous value,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,36,SHORT_TERM,Short-term average (Pst flicker),Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,37,LONG_TERM,Long-term average (Plt flicker),Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,38,POSITIVE_SEQUENCE,Positive sequence component,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,39,NEGATIVE_SEQUENCE,Negative sequence component,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,40,ZERO_SEQUENCE,Zero sequence component,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,41,TREND,Trending calculation,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,42,3_PHASE,Three-phase total calculation,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,43,ACCUMULATED,Accumulated value,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,44,CONDITIONAL,Conditional measurement,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,45,INCREMENTAL,Incremental value,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,46,TOU_RATE_1,Time-of-use rate 1,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,47,TOU_RATE_2,Time-of-use rate 2,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,48,TOU_RATE_3,Time-of-use rate 3,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,49,TOU_RATE_4,Time-of-use rate 4,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,61,USER_DEFINED1,User-defined modifier 1,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,62,USER_DEFINED2,User-defined modifier 2,Device specific AlarmAttributes
AlarmAttributes,modifier,32,11,4,enum,63,USER_DEFINED3,User-defined modifier 3,Device specific AlarmAttributes
AlarmAttributes,phases,32,7,4,enum,0,NONE,No phase specified,Device specific AlarmAttributes
AlarmAttributes,phases,32,7,4,enum,1,A,Phase A only,Device specific AlarmAttributes
AlarmAttributes,phases,32,7,4,enum,2,B,Phase B only,Device specific AlarmAttributes
AlarmAttributes,phases,32,7,4,enum,3,C,Phase C only,Device specific AlarmAttributes
AlarmAttributes,phases,32,7,4,enum,4,AB,Phases A and B,Device specific AlarmAttributes
AlarmAttributes,phases,32,7,4,enum,5,BC,Phases B and C,Device specific AlarmAttributes
AlarmAttributes,phases,32,7,4,enum,6,CA,Phases C and A,Device specific AlarmAttributes
AlarmAttributes,phases,32,7,4,enum,7,ABC,All three phases (A -> B -> C),Device specific AlarmAttributes
AlarmAttributes,phases,32,7,4,enum,8,N,Neutral conductor,Device specific AlarmAttributes
AlarmAttributes,phases,32,7,4,enum,9,G,Ground conductor,Device specific AlarmAttributes
AlarmAttributes,phases,32,7,4,enum,10,NG,Neutral and ground conductors,Device specific AlarmAttributes
AlarmAttributes,phases,32,7,4,enum,11,3PHASE_TOTAL,Three-phase total (sum or average),Device specific AlarmAttributes
AlarmAttributes,phases,32,7,4,enum,12,NOT_USED,Reserved - not used,Device specific AlarmAttributes
AlarmAttributes,phases,32,7,4,enum,13,NOT_USED,Reserved - not used,Device specific AlarmAttributes
AlarmAttributes,phases,32,7,4,enum,14,NOT_USED,Reserved - not used,Device specific AlarmAttributes
AlarmAttributes,phases,32,7,4,enum,15,NOT_USED,Reserved - not used,Device specific AlarmAttributes
AlarmAttributes,level,32,5,2,enum,0,LEVEL0,Alarm threshold level 0 (lowest),Device specific AlarmAttributes
AlarmAttributes,level,32,5,2,enum,1,LEVEL1,Alarm threshold level 1,Device specific AlarmAttributes
AlarmAttributes,level,32,5,2,enum,2,LEVEL2,Alarm threshold level 2,Device specific AlarmAttributes
AlarmAttributes,level,32,5,2,enum,3,LEVEL3,Alarm threshold level 3 (highest),Device specific AlarmAttributes
AlarmAttributes,priority,32,3,2,enum,0,NONE,No priority assigned,Device specific AlarmAttributes
AlarmAttributes,priority,32,3,2,enum,1,HIGH,High priority alarm - requires immediate attention,Device specific AlarmAttributes
AlarmAttributes,priority,32,3,2,enum,2,MEDIUM,Medium priority alarm - requires timely attention,Device specific AlarmAttributes
AlarmAttributes,priority,32,3,2,enum,3,LOW,Low priority alarm - informational,Device specific AlarmAttributes
AlarmAttributes,setpoints,32,2,1,enum,0,FIXED,Fixed setpoint values (not adjustable),Device specific AlarmAttributes
AlarmAttributes,setpoints,32,2,1,enum,1,VARIABLE,Variable setpoint values (user-adjustable),Device specific AlarmAttributes
AlarmAttributes,learning,32,1,1,enum,0,NOT_LEARNING,Learning mode disabled,Device specific AlarmAttributes
AlarmAttributes,learning,32,1,1,enum,1,LEARNING,Learning mode enabled (adaptive thresholds),Device specific AlarmAttributes
AlarmAttributes,enable,32,0,1,enum,0,DISABLED,Alarm disabled (not active),Device specific AlarmAttributes
AlarmAttributes,enable,32,0,1,enum,1,ENABLED,Alarm enabled (active),Device specific AlarmAttributes



